target_id	GRP1A	GRP1B	GRP1C	GRP1D	GRP1E	GRP2A	GRP2B	GRP2C	GRP2D	GRP2E
ENST00000415118.1	0	0	0	0	0	0	0	0	0	0
ENST00000448914.1	0	0	0	0	0	0	0	0	0	0
ENST00000434970.2	0	0	0	0	0	0	0	0	0	0
ENST00000631435.1	0	0	0	0	0	0	0	0	0	0
ENST00000632684.1	0	0	0	0	0	0	0	0	0	0
ENST00000710614.1	0	0	0	0	0	0	0	0	0	0
ENST00000605284.1	0	0	0	0	0	0	0	0	0	0
ENST00000604642.1	0	0	0	0	0	0	0	0	0	0
ENST00000603077.1	0	0	0	0	0	0	0	0	0	0
ENST00000604446.1	0	0	0	0	0	0	0	0	0	0
ENST00000604102.1	0	0	0	0	0	0	0	0	0	0
ENST00000603693.1	0	0	0	0	0	0	0	0	0	0
ENST00000604950.1	0	0	0	0	0	0	0	0	0	0
ENST00000604838.1	0	0	0	0	0	0	0	0	0	0
ENST00000603935.1	0	0	0	0	0	0	0	0	0	0
ENST00000632524.1	0	0	0	0	0	0	0	0	0	0
ENST00000633009.1	0	0	0	0	0	0	0	0	0	0
ENST00000634070.1	0	0	0	0	0	0	0	0	0	0
ENST00000632963.1	0	0	0	0	0	0	0	0	0	0
ENST00000633030.1	0	0	0	0	0	0	0	0	0	0
ENST00000633765.1	0	0	0	0	0	0	0	0	0	0
ENST00000632619.1	0	0	0	0	0	0	0	0	0	0
ENST00000632968.1	0	0	0	0	0	0	0	0	0	0
ENST00000633159.1	0	0	0	0	0	0	0	0	0	0
ENST00000631871.1	0	0	0	0	0	0	0	0	0	0
ENST00000633010.1	0	0	0	0	0	0	0	0	0	0
ENST00000633379.1	0	0	0	0	0	0	0	0	0	0
ENST00000632473.1	0	0	0	0	0	0	0	0	0	0
ENST00000631884.1	0	0	0	0	0	0	0	0	0	0
ENST00000632859.1	0	0	0	0	0	0	0	0	0	0
ENST00000631895.1	0	0	0	0	0	0	0	0	0	0
ENST00000634154.1	0	0	0	0	0	0	0	0	0	0
ENST00000632609.2	0	0	0	0	0	0	0	0	0	0
ENST00000632911.2	0	0	0	0	0	0	0	0	0	0
ENST00000633504.1	0	0	0	0	0	0	0	0	0	0
ENST00000632304.1	0	0	0	0	0	0	0	0	0	0
ENST00000632542.1	0	0	0	0	0	0	0	0	0	0
ENST00000633968.1	0	0	0	0	0	0	0	0	0	0
ENST00000634085.1	0	0	0	0	0	0	0	0	0	0
ENST00000633353.1	0	0	0	0	0	0.5	0	0	0	0
ENST00000631803.1	0	0	0	0	0	0	0	0	0	0
ENST00000633210.1	0	0	0	0	0	0	0	0	0	0
ENST00000603326.1	0	0	0	0	0	0	0	0	0	0
ENST00000439842.1	0	0	0	0	0	0	0	0	0	0
ENST00000390567.1	0	0	0	0	0	0	0	0	0	0
ENST00000452198.1	0	0	0	0	0	0	0	0	0	0
ENST00000390569.1	0	0	0	0	0	0	0	0	0	0
ENST00000437320.1	0	0	0	0	0	0	0	0	0	0
ENST00000390571.1	0	0	0	0	0	0	0	0	0	0
ENST00000390572.1	0	0	0	0	0	0	0	0	0	0
ENST00000450276.1	0	0	0	0	0	0	0	0	0	0
ENST00000390574.1	0	0	0	0	0	0	0	0	0	0
ENST00000390575.1	0	0	0	0	0	0	0	0	0	0
ENST00000431870.1	0	0	0	0	0	0	0	0	0	0
ENST00000390577.1	0	0	0	0	0	0	0	0	0	0
ENST00000390578.1	0	0	0	0	0	0	0	0	0	0
ENST00000451044.1	0	0	0	0	0	0	0	0	0	0
ENST00000390580.1	0	0	0	0	0	0	0	0	0	0
ENST00000390581.1	0	0	0	0	0	0	0	0	0	0
ENST00000431440.2	0	0	0	0	0	0	0	0	0	0
ENST00000390585.1	0	0	0	0	0	0	0	0	0	0
ENST00000430425.1	0	0	0	0	0	0	0	0	0	0
ENST00000454691.1	0	0	0	0	0	0	0	0	0	0
ENST00000390588.1	0	0	0	0	0	0	0	0	0	0
ENST00000414852.1	0	0	0	0	0	0	0	0	0	0
ENST00000390590.1	0	0	0	0	0	0.5	0	0	0	0
ENST00000390591.1	0	0	0	0	0	0	0	0	0	0
ENST00000454908.1	0	0	0	0	0	0	0	0	0	0
ENST00000390583.1	0	0	0	0	0	0	0	0	0	0
ENST00000390584.1	0	0	0	0	0	0	0	0	0	0
ENST00000390469.2	0	0	0	0	0	0	0	0	0	0
ENST00000535880.2	1	1	0	1	0	0	0	0	0	0
ENST00000634176.1	0.5	0	0	1	0	0	0	0	0	0
ENST00000633265.1	0	0	0	0	0	1	0	0	0	0
ENST00000632248.1	0	0	0	0	0	1	0	0	0	0.5
ENST00000633313.1	0.5	0	0	0	0	0	0	0	0	0
ENST00000632187.1	0	0	0.5	0	0	0	0	0	0.5	0
ENST00000634111.1	1	0	0	1	0	0	1	0	1	0
ENST00000632638.1	0	0	10.1333	0	5.77778	0	1.5	5.6	0	2
ENST00000631824.1	0	0	2.28571	0	3	0	0	1	0	0
ENST00000632308.1	0	0.5	0	0	0	0	0	0	0	0
ENST00000610439.4	0	0	0.5	0.5	3	0	0	0	0	3
ENST00000631663.1	0	0	0	0	0	0	0	0	0	0
ENST00000634123.1	0	0	0	1	0	0	0	0	0	0
ENST00000632021.1	4.8	10	5.55556	7	7.77778	1	9	1	7	4
ENST00000633790.1	0	0	0.5	0	0	0	0	0	0	0
ENST00000633283.1	1.5	2	6.5	3.5	6.5	1.5	5.5	3	1	5
ENST00000631392.1	0	13	3	9	10	0	6	3	5	4
ENST00000632829.1	0	0	0	0	0.5	0	0	0.5	0	0
ENST00000633466.1	0	0	11.1111	0	7.8	0	0	8.88889	0	3.75
ENST00000631427.1	10	0	3	5	12.9231	5	0	2	5	4.66667
ENST00000633575.1	0	6	0	1	0.5	0	0	0	0	1
ENST00000633328.1	12	5	14	0	21	2	2	4	3	5
ENST00000631511.1	0	0	0	0	0	0	0	0	0	0
ENST00000631882.1	0	4	0	1	3	0	0	0	1	1
ENST00000631559.1	0	2	3	1	0.5	0.5	3	0.5	0	0.5
ENST00000633842.1	0.5	5	1.5	0	1	0	0	0	0	1
ENST00000632560.1	0	0	10	3	5	0	2	2	2	1
ENST00000633696.1	0	0	0	0	1	0	1	1.5	0	0
ENST00000633796.1	2	1.5	1.5	2.5	1.5	1	0.5	2	5	1.5
ENST00000619125.2	1	1.5	5	5	7.5	0.5	4	1.5	5	2.5
ENST00000633072.1	9	10.5	5	3	5.5	0.5	4.5	0	2.5	3
ENST00000632432.1	0	0.5	1.5	2	2	0	1.5	0.5	0	0
ENST00000632512.1	0	0.5	0.5	0	0.538462	0	0.5	0.5	2.5	1.16667
ENST00000631639.1	2	8	0	0	1	1	5	0	0	0
ENST00000633384.1	2	3	3.5	6	3.5	0	1	1.5	1.5	3.5
ENST00000632148.1	34	0	2.61889	2.5	0	2.626	0	1	2.60967	0
ENST00000631548.1	1	1	0	1	0	0	0	0	0.5	0
ENST00000632828.1	0	0	0	4	0	0	0	0	0	0
ENST00000633244.1	0	0	0	0	1.5	0	0	0	0.5	1
ENST00000631557.1	2.5	4	9	6	1.5	1.5	0	2.5	5	1
ENST00000633092.1	0	14	2	5	0.5	0.5	7	0	2	1
ENST00000634093.1	0	1	0	0	0	0	0	0	0	0
ENST00000632713.1	0	3	0.5	0	0	0	0	0	1.5	0
ENST00000631471.1	0	0	0	0	0	0	0	0	0	0
ENST00000632216.1	4	3	0	0.5	1.5	2	2	0	2.5	0.5
ENST00000633472.1	2	3	2	1	2	0	2	2	0	1
ENST00000632016.1	0	0	0.762221	0	14	4.74799	0	0	4.78066	6
ENST00000631690.1	0	2.2	1	0	7	0	0	3	0	1.5
ENST00000633292.1	1.08172	1.05167	2	0.5	8	0	2.5	0.5	3.5	0
ENST00000632422.1	2	0.5	2.5	2	0.5	1	0	2	0	2
ENST00000632425.1	0	0	0	0	0	0	0	0	0	0
ENST00000634198.1	1.5	3	5.5	5	6.5	0.5	4	2	5.5	7
ENST00000633963.1	2	1	0	1.73739	1.53741e-07	0	0	1	0	3.74676
ENST00000631835.1	0	0	0	3	1.5	0	0	1	1.5	0
ENST00000542354.1	0	5	0	0	0	0	1	2	1	0
ENST00000390423.2	2	10	5	7	7	3	7	18	9	4
ENST00000390424.2	2	1	3	1	0	0	2	4	3	3
ENST00000390425.2	0	10	9	2	3	1	1	8	4	4
ENST00000390426.2	5	3	10	8	6	2	9	12	6	2
ENST00000390427.3	1	5	3	0	1	1	1	0	1	1
ENST00000390392.3	0	0.5	0.5	0	0.538462	0	0.5	0.5	2.5	1.16667
ENST00000634383.1	34	0	2.61889	2.5	0	2.626	0	1	2.60967	0
ENST00000634605.1	0	0	0	0	0	0	0	0	0	0
ENST00000390363.2	0	0	0	3	0	0	0	0	0	0
ENST00000390360.3	0	0	0	1	0	0	0	0	0	0
ENST00000390357.3	2	0	0.5	8	8	0	6	3	1.5	6
ENST00000390387.3	2	0.5	2.5	2	0.5	1	0	2	0	2
ENST00000390361.3	0	0	0	0	0	0	0	0	0	0
ENST00000390381.3	2	3	3.5	6	3.5	0	1	1.5	1.5	3.5
ENST00000390362.1	0	0	0	1	0	0	0	0	1	0
ENST00000390353.2	2.5	4	9	6	1.5	1.5	0	2.5	5	1
ENST00000455382.2	2	14	7	3	4	1	3	10	5	5
ENST00000547918.2	0	0.5	0	0	0	0	0	0	0	0
ENST00000390428.3	0	0	1	4	3	0	0	2	2	0
ENST00000390429.3	0	0	2	0	0	0	0	0	0	0
ENST00000390430.2	0	4	1	0	3	0	1	7	0	2
ENST00000390431.3	0	0	0	0	0	0	0	0	0	0
ENST00000390432.2	0	4	0	5	0	0	2	1	2	1
ENST00000390433.1	1	0	4	1	1	1	3	0	2	4
ENST00000390434.3	8	12	7	3	12	1	6	6	5	5
ENST00000390435.1	6	9	16	16	13	1	5	5	4	3
ENST00000390436.2	9	2	4	9	7	3	6	4	9	5
ENST00000390437.2	9	4	7	4	2	4	5	3	13	6
ENST00000390438.2	6	0	1	6	1	5	2	0	4	3
ENST00000390439.2	4	4	3	5	4	0	2	2	3	5
ENST00000390440.2	2	7	7	8	5	2	6	6	4	3
ENST00000390441.2	0	2	6	0	1	1	0	0	1	2
ENST00000390442.3	3	1	9	0	5	3	0	0	0	3
ENST00000390443.3	3	9	3	2	6	2	7	1	4	3
ENST00000390444.1	9	1	5	7	1	2	1	0	6	2
ENST00000390445.2	8	4	1	7	1	1	7	3	6	4
ENST00000390446.3	2	1	1	0	0	1	0	0	1	2
ENST00000390447.3	19	6	5	6	3	10	5	8	7	6
ENST00000390448.3	3	0	3	1	1	1	3	2	2	1
